,LIBELLE
599,St-Sulpice-Auteuil
600,Onville
601,Prouvy-Thiant
602,Pontgibaud
603,Les Aubrais-Orléans
604,Ste-Colombe-Septveilles
605,Remise-à-Jorelle
606,Amifontaine
607,Gardanne
608,Tiercé
609,Longwy
610,Allonnes-Boisville
611,Nogent-sur-Vernisson
612,Grésy-sur-Isère
613,Azay-sur-Cher
614,Hazebrouck
615,Tantonville
616,Brion-sur-Ource
617,Villefranche-de-Rouergue
618,Vraincourt-Viéville
619,Cenon
620,Taconnaz
621,Agay
622,Montabard
623,St-Hilaire-de-Riez
624,St-Julien-Écuisses
625,La Mothe-Achard
626,Ruffec
627,Cesson-Sévigné
628,St-Germain-St-Rémy
629,Givet
630,Montbarrey
631,Villiers-Neauphle-Pontchartrain
632,St-Pol-sur-Ternoise
633,Villeparisis
634,Rive-de-Gier
635,Herbitzheim
636,Ambronay-Priay
637,Feuquières-Broquiers
638,Roquesérière
639,Compans
640,Châtillon-sur-Seine
641,Jassonneix
642,Magneux-Courlandon
643,Fourchambault
644,Couëron
645,Ogeu-les-Bains
646,Mérenvielle
647,Err
648,Espira-de-l'Agly
649,Woincourt
650,Montrond-les-Bains
651,Sibelin
652,La Ville-Gozet
653,La Réole
654,Bailleul-sur-Thérain
655,Villeperdue
656,L'Estaque
657,Nomain
658,St-Bonnet-de-Rochefort
659,Roche-lez-Beaupré
660,Les Ardoines
661,Conflans-Fin-d'Oise
662,Lus-la-Croix-Haute
663,Aiguillon
664,Ossès-St-Martin-d'Arrossa
665,Couliboeuf
666,Salles-Courbatiès
667,St-Médard-sur-Ille
668,Longueville-sur-Scie
669,Ham
670,Revigny
671,Crépieux-la-Pape
672,St-Junien
673,Lérouville
674,St-Marcel-en-Dombes
675,Gestel
676,Lons-le-Saunier
677,Lussac-les-Châteaux
678,Siorac-en-Périgord
679,Vic-sur-Aisne
680,Dives-sur-Mer-Port-Guillaume
681,Luché
682,Baud
683,Bourbourg
684,Koenigsmacker
685,Fos-Mole-Central
686,Aubusson
687,Illiers-Combray
688,La Gouesnière-Cancale
689,Langres
690,Laifour
691,St-Juéry
692,L'Isle-Jourdain
693,Grandvillars
694,Moult-Argences
695,Les Moussoux
696,Baccarat
697,Ménil-Flin
698,Bazancourt
699,Crancey
700,Batz-sur-Mer
701,L'Estaque
702,L'Ariane
703,Dax
704,St-Pierre-des-Corps
705,Moulin-Galant
706,Connerré-Beillé
707,Romilly-la-Puthenaye
708,Écouen-Ézanville
709,Orry-la-Ville-Coye
710,Blonville-sur-Mer-Benerville
711,Gilly-sur-Loire
712,Gennes-Longuefuye
713,Franconville-Plessis-Bouchard
714,Trémolat
715,Bazeilles
716,Souillac
717,Drancy
718,Commercy
719,Sierck-les-Bains
720,Grenoble
721,St-Vincent-le-Château
722,Vayrac
723,St-Jodard
724,Vélines
725,Anché-Voulon
726,Froncles
727,Fépin
728,Origny-Ste-Benoite
729,Saillagouse
730,Rosporden
731,Courcy-Brimont
732,Ollioules-Sanary-sur-Mer
733,Luant
734,St-Jean-de-Sauves
735,Limoges-Puy-Imbert
736,Olette-Canaveilles-les-Bains
737,Bischoffsheim
738,Clion-sur-Indre
739,Munchhausen
740,St-Gervais-les-Bains-Le Fayet
741,Lavilledieu
742,Mauco-Benquet
743,Moulins-sur-Allier
744,Cassel
745,Bois-d'Oingt-Légny
746,Le Mée
747,Corbehem
748,Blaisy-Bas
749,Carnoët-Locarn
750,Savy-Berlette
751,Faremoutiers-Pommeuse
752,Montendre
753,Longueil-Ste-Marie
754,Versailles-Rive-Gauche
755,Mennessis
756,Vierzon-Ville
757,Melun
758,Nantes
759,Le Mans
760,Paray-le-Monial
761,Montaudran
762,Herny
763,Sallanches-Combloux-Megève
764,Fontaines-d'Ozillac

766,St-Seurin-sur-l'Isle
767,Houilles-Carrières-sur-Seine
768,Hirson-Écoles
769,Guichen-Bourg-des-Comptes
770,Rouen-Martainville
